circo;EM;FN;LR;LFI;PS;EELV;UDI;PCF;DLF
75_5;Benjamin GRIVEAUX;Marie FONTAINE;Déborah PAWLIK;Layla YAKOUB;Seybah DAGOMA;Julien Bayou;;Didier LE RESTE;
75_6;Pierre PERSON;Guy DEBALLE;;Danielle SIMONNET;;Cécile Duflot;Hélène HAUTVAL;Adrien TIBERTI;
75_7;Pacôme RUPIN;Isabelle COCHARD;Vincent ROGER;Jean-Charles LALLEMAND;Patrick BLOCHE;Corinne Faugeron;;Nicolas BONNET-OULALDJ;Caroline DUEZ
75_8;Laetitia AVIA;Renée-Michelle THIMOTTE;Valérie MONTANDON;Clément BONY;Sandrine MAZETIER;Emmanuelle Pierre-Marie;;Marianne JOURNIAC;Anastasia MARIE
75_9;Buon TAN;Corinne BERTHAUD;Laure ESQUIEU;Raphaël QNOUCH;Martin LAGANE;Claire Monod;Elisabeth STIBBE;Jean-Noël AQUA;Cendrine CHEREIL DE LA RIVIÈRE
75_10;Anne-Christine LANG;Thiphaine LÉOST;Sandrine RICHARD;Leïla CHAIBI;Ryadh SALLEM;Sybille Bernard;Alexandre KADUR;Maxime COCHARD;Isabelle MARTIN
75_11;Marielle DE SARNEZ;Elisabeth BASTON;Francis SZPINER;Jean-Pierre COULOMB;Pascal CHERKI;Florentin Letissier;Jean-Roch SERGENT;Anissa GHAIDI;François DE GRAILLY
75_12;Olivia GREGOIRE;Agnès PAGEARD;Philippe GOUJON;Patrick LEFRANÇOIS;Florian SITBON;France Talandier;;Isabelle MATHURIN;Dominique MAHÉ
75_13;Hugues RENSON;Wallerand DE SAINT JUST;Jean-François LAMOUR;Magalhy BERTO;Naza CHIFFERT;Thibaut Bragé;;Laurence PATRICE;Marion RACANIERE
75_14;Valérie BOUGAULT-DELAGE;Armelle GOASGUEN;Claude GOASGUEN;Alexandra MOUTON;Pierre-Alain WEILL;Rémi Lété;;Flore MADELIN;Xavier LOUY
75_15;;Christophe VERSINI;Atanase PÉRIFAN;Mehdi KEMOUNE;George PAU-LANGEVIN;Antoinette Guhl;;Jacques BAUDRIER;Didier CHABAILLÉ
75_16;Mounir MAHJOUBI;Michel BULTÉ;Anne-Constance ONGHENA;Sarah LEGRAIN;Jean-Christophe CAMBADELIS;Dan Lert;Mériam BOUSSEBSI;Sergio TINTI;Danièle HOLLAND
75_17;Béatrice FAILLÉS;Vanessa LANCELOT;Babette DE ROZIÈRES;Danièle OBONO;Colombe BROSSEL;Douchka Markovic;;Ian BROSSAT;
